,movie_name,year,movie_url,filming_location,filming_country
64,Cave of Forgotten Dreams,2010,https://www.imdb.com/title/tt1664894/?ref_=fn_al_tt_1,"Chauvet-Pont-d'Arc, Ardèche, France",France
66,Lincoln,2012,https://www.imdb.com/title/tt0443272/?ref_=fn_al_tt_1,"State Capitol, Capitol Square - Ninth & Grace Streets, Richmond, Virginia, USA",United States of America
67,Life of Pi,2012,https://www.imdb.com/title/tt0454876/?ref_=fn_al_tt_1,"Grafton, Auckland, New Zealand",New Zealand
68,Mystic River,2003,https://www.imdb.com/title/tt0327056/?ref_=fn_al_tt_1,"Doyle's Pub - 3484 Washington Street, Jamaica Plain, Boston, Massachusetts, USA",United States of America
69,American Hustle,2013,https://www.imdb.com/title/tt1800241/?ref_=fn_al_tt_1,"Boston, Massachusetts, USA",United States of America
70,After the Wedding,2006,https://www.imdb.com/title/tt0457655/?ref_=fn_al_tt_1,"Mumbai, Maharashtra, India",India
71,I Am Love,2009,https://www.imdb.com/title/tt1226236/?ref_=fn_al_tt_1,"Villa Necchi Campiglio, Milan, Lombardia, Italy",Italy
73,Nobody Knows,2004,https://www.imdb.com/title/tt0408664/?ref_=fn_al_tt_1,"Haneda International Airport, Ota-ku, Tokyo, Japan",Japan
74,Eldorado,2008,https://www.imdb.com/title/tt1176954/?ref_=fn_al_tt_1,"Les Dolimarts, Vresse-sur-Semois, Wallonia, Belgium",Belgium
75,Mommy,2014,https://www.imdb.com/title/tt3612616/?ref_=fn_al_tt_1,"Montréal, Québec, Canada",Canada
80,5 Broken Cameras,2011,https://www.imdb.com/title/tt2125423/?ref_=fn_al_tt_1,"Bil'in, Ramallah and al-Bireh, Palestine",Palestine
81,Hooligan Sparrow,2016,https://www.imdb.com/title/tt4079902/?ref_=fn_al_tt_1,China,China
84,American Splendor,2003,https://www.imdb.com/title/tt0305206/?ref_=fn_al_tt_1,"Cleveland, Ohio, USA",United States of America
87,Dancer in the Dark,2000,https://www.imdb.com/title/tt0168629/?ref_=fn_al_tt_1,"Filmbyen, Avedøre, Sjælland, Denmark",Denmark
90,Girl Walk: All Day,2011,https://www.imdb.com/title/tt2287749/?ref_=fn_al_tt_1,"New York City, New York, USA",United States of America
91,Collateral,2004,https://www.imdb.com/title/tt0369339/?ref_=fn_al_tt_1,"El Rodeo Restaurant, 8825 E Washington Blvd, Pico Rivera, California, USA",United States of America
92,Nightcrawler,2014,https://www.imdb.com/title/tt2872718/?ref_=fn_al_tt_1,"Chinatown Express - 252 S Western Ave, Los Angeles, California, USA",United States of America
93,Take Shelter,2011,https://www.imdb.com/title/tt1675192/?ref_=fn_al_tt_1,"LaGrange, Ohio, USA",United States of America
