,0,1,2,3,4,5
320,Colin Covert,Minneapolis Star-Tribune,US,Yi Yi: A One and a Two,Edward Yang,2000
321,Colin Covert,Minneapolis Star-Tribune,US,Mulholland Drive,David Lynch,2001
322,Colin Covert,Minneapolis Star-Tribune,US,Children of Men,Alfonso Cuarón,2006
323,Colin Covert,Minneapolis Star-Tribune,US,Manchester by the Sea,Kenneth Lonergan,2016
324,Colin Covert,Minneapolis Star-Tribune,US,Adaptation,Spike Jonze,2002
325,Colin Covert,Minneapolis Star-Tribune,US,The Host,Bong Joon-ho,2006
326,Colin Covert,Minneapolis Star-Tribune,US,District 9,Neill Blomkamp,2009
327,Colin Covert,Minneapolis Star-Tribune,US,City of God,Fernando Meirelles and Kátia Lund,2002
328,Colin Covert,Minneapolis Star-Tribune,US,Love &amp; Friendship,Whit Stillman,2016
329,Colin Covert,Minneapolis Star-Tribune,US,Distant,Nuri Bilge Ceylan,2002
330,Oggs Cruz,Rappler.com,Philippines,3-Iron,Kim Ki-duk,2004
331,Oggs Cruz,Rappler.com,Philippines,Yi Yi: A One and a Two,Edward Yang,2000
332,Oggs Cruz,Rappler.com,Philippines,Mulholland Drive,David Lynch,2001
333,Oggs Cruz,Rappler.com,Philippines,Syndromes and a Century,Apichatpong Weerasethakul,2006
334,Oggs Cruz,Rappler.com,Philippines,Evolution of a Filipino Family,Lav Diaz,2004
335,Oggs Cruz,Rappler.com,Philippines,Pulse,Kiyoshi Kurosawa,2001
336,Oggs Cruz,Rappler.com,Philippines,Cave of Forgotten Dreams,Werner Herzog,2010
337,Oggs Cruz,Rappler.com,Philippines,Heaven's Story,Takahisa Zeze,2010
338,Oggs Cruz,Rappler.com,Philippines,"Norte, the End of History",Lav Diaz,2013
339,Oggs Cruz,Rappler.com,Philippines,Spirited Away,Hayao Miyazaki,2001
340,Ken Dancyger,New York University,US,"Crouching Tiger, Hidden Dragon",Ang Lee,2000
341,Ken Dancyger,New York University,US,There Will Be Blood,Paul Thomas Anderson,2007
342,Ken Dancyger,New York University,US,The Pianist,Roman Polanski,2002
343,Ken Dancyger,New York University,US,Lincoln,Steven Spielberg,2012
344,Ken Dancyger,New York University,US,Life of Pi,Ang Lee,2012
345,Ken Dancyger,New York University,US,Mystic River,Clint Eastwood,2003
346,Ken Dancyger,New York University,US,Son of Saul,László Nemes,2015
347,Ken Dancyger,New York University,US,American Hustle,David O. Russell,2013
348,Ken Dancyger,New York University,US,The White Ribbon,Michael Haneke,2009
349,Ken Dancyger,New York University,US,After the Wedding,Susanne Bier,2006
350,Erik Davis,Fandango,US,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
351,Erik Davis,Fandango,US,Boyhood,Richard Linklater,2014
352,Erik Davis,Fandango,US,Memento,Christopher Nolan,2000
353,Erik Davis,Fandango,US,There Will Be Blood,Paul Thomas Anderson,2007
354,Erik Davis,Fandango,US,The Dark Knight,Christopher Nolan,2008
355,Erik Davis,Fandango,US,Inside Llewyn Davis,Joel and Ethan Coen,2013
356,Erik Davis,Fandango,US,Finding Nemo,Andrew Stanton,2003
357,Erik Davis,Fandango,US,Mad Max: Fury Road,George Miller,2015
358,Erik Davis,Fandango,US,Inglourious Basterds,Quentin Tarantino,2009
359,Erik Davis,Fandango,US,Gravity,Alfonso Cuarón,2013
360,Peter Debruge,Variety,US,The Tree of Life,Terrence Malick,2011
361,Peter Debruge,Variety,US,Yi Yi: A One and a Two,Edward Yang,2000
362,Peter Debruge,Variety,US,Secret Sunshine,Lee Chang-dong,2007
363,Peter Debruge,Variety,US,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
364,Peter Debruge,Variety,US,Amour,Michael Haneke,2012
365,Peter Debruge,Variety,US,I Am Love,Luca Guadagnino,2009
366,Peter Debruge,Variety,US,Son of Saul,László Nemes,2015
367,Peter Debruge,Variety,US,WALL-E,Andrew Stanton,2008
368,Peter Debruge,Variety,US,The Five Obstructions,Jørgen Leth and Lars von Trier,2003
369,Peter Debruge,Variety,US,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006
370,Fernand Denis,La Libre Belgique,Belgium,In the Mood for Love,Wong Kar-wai,2000
371,Fernand Denis,La Libre Belgique,Belgium,Ida,Paweł Pawlikowski,2013
372,Fernand Denis,La Libre Belgique,Belgium,Boyhood,Richard Linklater,2014
373,Fernand Denis,La Libre Belgique,Belgium,Son of Saul,László Nemes,2015
374,Fernand Denis,La Libre Belgique,Belgium,Nobody Knows,Hirokazu Koreeda,2004
375,Fernand Denis,La Libre Belgique,Belgium,Talk to Her,Pedro Almodóvar,2002
376,Fernand Denis,La Libre Belgique,Belgium,Amores Perros,Alejandro González Iñárritu,2000
377,Fernand Denis,La Libre Belgique,Belgium,Wild Tales,Damián Szifrón,2014
378,Fernand Denis,La Libre Belgique,Belgium,Eldorado,Bouli Lanners,2008
379,Fernand Denis,La Libre Belgique,Belgium,Mommy,Xavier Dolan,2014
380,Lindiwe Dovey,University of London,UK,The Stuart Hall Project,John Akomfrah,2013
381,Lindiwe Dovey,University of London,UK,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010
382,Lindiwe Dovey,University of London,UK,A Letter to Nelson Mandela,Khalo Matabane,2013
383,Lindiwe Dovey,University of London,UK,Waiting for Happiness,Abderrahmane Sissako,2002
384,Lindiwe Dovey,University of London,UK,Something Necessary,Judy Kibinge,2013
385,Lindiwe Dovey,University of London,UK,Moolaadé,Ousmane Sembène,2004
386,Lindiwe Dovey,University of London,UK,Sembène!,Samba Gadjigo and Jason Silverman,2015
387,Lindiwe Dovey,University of London,UK,5 Broken Cameras,Emad Burnat and Guy Davidi,2011
388,Lindiwe Dovey,University of London,UK,Hooligan Sparrow,Nanfu Wang,2016
389,Lindiwe Dovey,University of London,UK,7 Letters,"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong",2015
390,Alonso Duralde,TheWrap,US,"Synecdoche, New York",Charlie Kaufman,2008
391,Alonso Duralde,TheWrap,US,Brokeback Mountain,Ang Lee,2005
392,Alonso Duralde,TheWrap,US,Weekend,Andrew Haigh,2011
393,Alonso Duralde,TheWrap,US,"4 Months, 3 Weeks &amp; 2 Days",Cristian Mungiu,2007
394,Alonso Duralde,TheWrap,US,Spirited Away,Hayao Miyazaki,2001
395,Alonso Duralde,TheWrap,US,How to Survive a Plague,David France,2012
396,Alonso Duralde,TheWrap,US,Talk to Her,Pedro Almodóvar,2002
397,Alonso Duralde,TheWrap,US,American Splendor,Robert Pulcini and Shari Springer Berman,2003
398,Alonso Duralde,TheWrap,US,In the Mood for Love,Wong Kar-wai,2000
399,Alonso Duralde,TheWrap,US,Far From Heaven,Todd Haynes,2002
400,Bilge Ebiri,The Village Voice,US,The Tree of Life,Terrence Malick,2011
401,Bilge Ebiri,The Village Voice,US,Mad Max: Fury Road,George Miller,2015
402,Bilge Ebiri,The Village Voice,US,25th Hour,Spike Lee,2002
403,Bilge Ebiri,The Village Voice,US,An Injury to One,Travis Wilkerson,2002
404,Bilge Ebiri,The Village Voice,US,Love &amp; Basketball,Gina Prince-Bythewood,2000
405,Bilge Ebiri,The Village Voice,US,In the Mood for Love,Wong Kar-wai,2000
406,Bilge Ebiri,The Village Voice,US,Timbuktu,Abderrahmane Sissako,2014
407,Bilge Ebiri,The Village Voice,US,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011
408,Bilge Ebiri,The Village Voice,US,It's Such a Beautiful Day,Don Hertzfeldt,2012
409,Bilge Ebiri,The Village Voice,US,Actress,Robert Greene,2014
410,David Ehrlich,IndieWire,US,Lost in Translation,Sofia Coppola,2003
411,David Ehrlich,IndieWire,US,Carol,Todd Haynes,2015
412,David Ehrlich,IndieWire,US,Yi Yi: A One and a Two,Edward Yang,2000
413,David Ehrlich,IndieWire,US,Dancer in the Dark,Lars von Trier,2000
414,David Ehrlich,IndieWire,US,Certified Copy,Abbas Kiarostami,2010
415,David Ehrlich,IndieWire,US,The Wind Rises,Hayao Miyazaki,2013
416,David Ehrlich,IndieWire,US,World of Tomorrow,Don Hertzfeldt,2015
417,David Ehrlich,IndieWire,US,Mulholland Drive,David Lynch,2001
418,David Ehrlich,IndieWire,US,35 Shots of Rum,Claire Denis,2008
419,David Ehrlich,IndieWire,US,Girl Walk: All Day,Jacob Krupnick,2011
420,Kate Erbland,IndieWire,US,Inside Llewyn Davis,Joel and Ethan Coen,2013
421,Kate Erbland,IndieWire,US,Almost Famous,Cameron Crowe,2000
422,Kate Erbland,IndieWire,US,Collateral,Michael Mann,2004
423,Kate Erbland,IndieWire,US,Brooklyn,John Crowley,2015
424,Kate Erbland,IndieWire,US,Nightcrawler,Dan Gilroy,2014
425,Kate Erbland,IndieWire,US,Take Shelter,Jeff Nichols,2011
426,Kate Erbland,IndieWire,US,Fantastic Mr Fox,Wes Anderson,2009
427,Kate Erbland,IndieWire,US,Senna,Asif Kapadia,2010
428,Kate Erbland,IndieWire,US,Frances Ha,Noah Baumbach,2012
429,Kate Erbland,IndieWire,US,Dogtooth,Yorgos Lanthimos,2009
430,Mario Espinosa,Cinemateca de Cuba,Cuba,A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014
431,Mario Espinosa,Cinemateca de Cuba,Cuba,The Act of Killing,Joshua Oppenheimer,2012
432,Mario Espinosa,Cinemateca de Cuba,Cuba,Dogtooth,Yorgos Lanthimos,2009
433,Mario Espinosa,Cinemateca de Cuba,Cuba,Katyn,Andrzej Wajda,2007
434,Mario Espinosa,Cinemateca de Cuba,Cuba,3-Iron,Kim Ki-duk,2004
435,Mario Espinosa,Cinemateca de Cuba,Cuba,Caché,Michael Haneke,2005
436,Mario Espinosa,Cinemateca de Cuba,Cuba,Mulholland Drive,David Lynch,2001
437,Mario Espinosa,Cinemateca de Cuba,Cuba,The Congress,Ari Folman,2013
438,Mario Espinosa,Cinemateca de Cuba,Cuba,Sympathy for Mr Vengeance,Park Chan-wook,2002
439,Mario Espinosa,Cinemateca de Cuba,Cuba,"Synecdoche, New York",Charlie Kaufman,2008
440,Joseph Fahim,Freelance film critic,Egypt,Yi Yi: A One and a Two,Edward Yang,2000
441,Joseph Fahim,Freelance film critic,Egypt,There Will Be Blood,Paul Thomas Anderson,2007
442,Joseph Fahim,Freelance film critic,Egypt,Boyhood,Richard Linklater,2014
443,Joseph Fahim,Freelance film critic,Egypt,Still Life,Jia Zhangke,2006
444,Joseph Fahim,Freelance film critic,Egypt,Archipelago,Joanna Hogg,2010
445,Joseph Fahim,Freelance film critic,Egypt,The Headless Woman,Lucrecia Martel,2008
446,Joseph Fahim,Freelance film critic,Egypt,The Act of Killing,Joshua Oppenheimer,2012
447,Joseph Fahim,Freelance film critic,Egypt,Caché,Michael Haneke,2005
448,Joseph Fahim,Freelance film critic,Egypt,Divine Intervention,Elia Suleiman,2002
449,Joseph Fahim,Freelance film critic,Egypt,Crimson Gold,Jafar Panahi,2003
450,Devin Faraci,Birth.Movies.Death.,US,Zodiac,David Fincher,2007
451,Devin Faraci,Birth.Movies.Death.,US,Inside Llewyn Davis,Joel and Ethan Coen,2013
452,Devin Faraci,Birth.Movies.Death.,US,There Will Be Blood,Paul Thomas Anderson,2007
453,Devin Faraci,Birth.Movies.Death.,US,Spider-Man 2,Sam Raimi,2004
454,Devin Faraci,Birth.Movies.Death.,US,Oldboy,Park Chan-wook,2003
455,Devin Faraci,Birth.Movies.Death.,US,Inglourious Basterds,Quentin Tarantino,2009
456,Devin Faraci,Birth.Movies.Death.,US,Frozen,Chris Buck and Jennifer Lee,2013
457,Devin Faraci,Birth.Movies.Death.,US,25th Hour,Spike Lee,2002
458,Devin Faraci,Birth.Movies.Death.,US,Requiem for a Dream,Darren Aronofsky,2000
459,Devin Faraci,Birth.Movies.Death.,US,Shaun of the Dead,Edgar Wright,2004
460,David Fear,Rolling Stone,US,There Will Be Blood,Paul Thomas Anderson,2007
461,David Fear,Rolling Stone,US,"4 Months, 3 Weeks &amp; 2 Days",Cristian Mungiu,2007
462,David Fear,Rolling Stone,US,Yi Yi: A One and a Two,Edward Yang,2000
463,David Fear,Rolling Stone,US,Shame,Steve McQueen,2011
464,David Fear,Rolling Stone,US,Boyhood,Richard Linklater,2014
465,David Fear,Rolling Stone,US,The Social Network,David Fincher,2010
466,David Fear,Rolling Stone,US,Manchester by the Sea,Kenneth Lonergan,2016
467,David Fear,Rolling Stone,US,Mulholland Drive,David Lynch,2001
468,David Fear,Rolling Stone,US,Head-On,Fatih Akin,2004
469,David Fear,Rolling Stone,US,In the Mood for Love,Wong Kar-wai,2000
470,Scott Feinberg,The Hollywood Reporter,US,Sideways,Alexander Payne,2004
471,Scott Feinberg,The Hollywood Reporter,US,The Social Network,David Fincher,2010
472,Scott Feinberg,The Hollywood Reporter,US,"Synecdoche, New York",Charlie Kaufman,2008
473,Scott Feinberg,The Hollywood Reporter,US,The Diving Bell and the Butterfly,Julian Schnabel,2007
474,Scott Feinberg,The Hollywood Reporter,US,Dogville,Lars von Trier,2003
475,Scott Feinberg,The Hollywood Reporter,US,Short Term 12,Destin Daniel Cretton,2013
476,Scott Feinberg,The Hollywood Reporter,US,WALL-E,Andrew Stanton,2008
477,Scott Feinberg,The Hollywood Reporter,US,Blue Valentine,Derek Cianfrance,2010
478,Scott Feinberg,The Hollywood Reporter,US,The Squid and the Whale,Noah Baumbach,2005
479,Scott Feinberg,The Hollywood Reporter,US,A Serious Man,Joel and Ethan Coen,2009
480,Javier Porta Fouz,La Nacion,Argentina,Jersey Boys,Clint Eastwood,2014
481,Javier Porta Fouz,La Nacion,Argentina,Moulin Rouge!,Baz Luhrmann,2001
482,Javier Porta Fouz,La Nacion,Argentina,Nine Queens,Fabián Bielinsky,2000
483,Javier Porta Fouz,La Nacion,Argentina,Mia Madre,Nanni Moretti,2015
484,Javier Porta Fouz,La Nacion,Argentina,"Right Now, Wrong Then",Hong Sang-soo,2015
485,Javier Porta Fouz,La Nacion,Argentina,Toy Story 3,Lee Unkrich,2010
486,Javier Porta Fouz,La Nacion,Argentina,Mad Max: Fury Road,George Miller,2015
487,Javier Porta Fouz,La Nacion,Argentina,Spirited Away,Hayao Miyazaki,2001
488,Javier Porta Fouz,La Nacion,Argentina,Adventureland,Greg Mottola,2009
489,Javier Porta Fouz,La Nacion,Argentina,Open Range,Kevin Costner,2003
490,Kenji Fujishima,Freelance film critic,US,The World,Jia Zhangke,2004
491,Kenji Fujishima,Freelance film critic,US,Profit Motive and the Whispering Wind,John Gianvito,2007
492,Kenji Fujishima,Freelance film critic,US,Inglourious Basterds,Quentin Tarantino,2009
493,Kenji Fujishima,Freelance film critic,US,Pulse,Kiyoshi Kurosawa,2001
494,Kenji Fujishima,Freelance film critic,US,Syndromes and a Century,Apichatpong Weerasethakul,2006
495,Kenji Fujishima,Freelance film critic,US,In Jackson Heights,Frederick Wiseman,2015
496,Kenji Fujishima,Freelance film critic,US,"Synecdoche, New York",Charlie Kaufman,2008
497,Kenji Fujishima,Freelance film critic,US,Love Exposure,Sion Sono,2008
498,Kenji Fujishima,Freelance film critic,US,The Tree of Life,Terrence Malick,2011
499,Kenji Fujishima,Freelance film critic,US,Casino Royale,Martin Campbell,2006
500,Ernesto Garratt,El Mercurio,Chile,Oldboy,Park Chan-wook,2003
501,Ernesto Garratt,El Mercurio,Chile,Children of Men,Alfonso Cuarón,2006
502,Ernesto Garratt,El Mercurio,Chile,Mulholland Drive,David Lynch,2001
503,Ernesto Garratt,El Mercurio,Chile,The Secret in Their Eyes,Juan José Campanella,2009
504,Ernesto Garratt,El Mercurio,Chile,Sicario,Denis Villeneuve,2015
505,Ernesto Garratt,El Mercurio,Chile,No,Pablo Larraín,2012
506,Ernesto Garratt,El Mercurio,Chile,Donnie Darko,Richard Kelly,2001
507,Ernesto Garratt,El Mercurio,Chile,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
508,Ernesto Garratt,El Mercurio,Chile,The Social Network,David Fincher,2010
509,Ernesto Garratt,El Mercurio,Chile,Whiplash,Damien Chazelle,2014
510,Steven Gaydos,Variety,US,Ex Machina,Alex Garland,2015
511,Steven Gaydos,Variety,US,Inside Out,Pete Docter,2015
512,Steven Gaydos,Variety,US,Animal Kingdom,David Michôd,2010
513,Steven Gaydos,Variety,US,Apocalypto,Mel Gibson,2006
514,Steven Gaydos,Variety,US,Three Monkeys,Nuri Bilge Ceylan,2008
515,Steven Gaydos,Variety,US,WALL-E,Andrew Stanton,2008
516,Steven Gaydos,Variety,US,Listen to Me Marlon,Stevan Riley,2015
517,Steven Gaydos,Variety,US,"4 Months, 3 Weeks &amp; 2 Days",Cristian Mungiu,2007
518,Steven Gaydos,Variety,US,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006
519,Steven Gaydos,Variety,US,Centochiodi,Ermanno Olmi,2007
520,Noah Gittell,Washington City Paper,US,United 93,Paul Greengrass,2006
521,Noah Gittell,Washington City Paper,US,Zodiac,David Fincher,2007
522,Noah Gittell,Washington City Paper,US,Bridesmaids,Paul Feig,2011
523,Noah Gittell,Washington City Paper,US,WALL-E,Andrew Stanton,2008
524,Noah Gittell,Washington City Paper,US,Brooklyn,John Crowley,2015
525,Noah Gittell,Washington City Paper,US,The Look of Silence,Joshua Oppenheimer,2014
526,Noah Gittell,Washington City Paper,US,Punch-Drunk Love,Paul Thomas Anderson,2002
527,Noah Gittell,Washington City Paper,US,12 Years a Slave,Steve McQueen,2013
528,Noah Gittell,Washington City Paper,US,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
529,Noah Gittell,Washington City Paper,US,We Need to Talk About Kevin,Lynne Ramsay,2011
530,Owen Gleiberman,Variety,US,Far From Heaven,Todd Haynes,2002
531,Owen Gleiberman,Variety,US,Chuck &amp; Buck,Miguel Arteta,2000
532,Owen Gleiberman,Variety,US,Gladiator,Ridley Scott,2000
533,Owen Gleiberman,Variety,US,The Century of the Self,Adam Curtis,2002
534,Owen Gleiberman,Variety,US,Moulin Rouge!,Baz Luhrmann,2001
535,Owen Gleiberman,Variety,US,Munich,Steven Spielberg,2005
536,Owen Gleiberman,Variety,US,Casino Royale,Martin Campbell,2006
537,Owen Gleiberman,Variety,US,Lilya 4-Ever,Lukas Moodysson,2002
538,Owen Gleiberman,Variety,US,Sideways,Alexander Payne,2004
539,Owen Gleiberman,Variety,US,Inglourious Basterds,Quentin Tarantino,2009
540,Ed Gonzalez,Slant Magazine,US,Mulholland Drive,David Lynch,2001
541,Ed Gonzalez,Slant Magazine,US,In the Mood for Love,Wong Kar-wai,2000
542,Ed Gonzalez,Slant Magazine,US,The New World,Terrence Malick,2005
543,Ed Gonzalez,Slant Magazine,US,Certified Copy,Abbas Kiarostami,2010
544,Ed Gonzalez,Slant Magazine,US,Femme Fatale,Brian De Palma,2002
545,Ed Gonzalez,Slant Magazine,US,Margaret,Kenneth Lonergan,2011
546,Ed Gonzalez,Slant Magazine,US,Under the Skin,Jonathan Glazer,2013
547,Ed Gonzalez,Slant Magazine,US,This Is Not a Film,Mojtaba Mirtahmasb and Jafar Panahi,2011
548,Ed Gonzalez,Slant Magazine,US,Two Lovers,James Gray,2008
549,Ed Gonzalez,Slant Magazine,US,Heart of a Dog,Laurie Anderson,2015
550,Juan Carlos González,El Tiempo,Colombia,In the Mood for Love,Wong Kar-wai,2000
551,Juan Carlos González,El Tiempo,Colombia,"4 Months, 3 Weeks &amp; 2 Days",Cristian Mungiu,2007
552,Juan Carlos González,El Tiempo,Colombia,A Separation,Asghar Farhadi,2011
553,Juan Carlos González,El Tiempo,Colombia,Son of Saul,László Nemes,2015
554,Juan Carlos González,El Tiempo,Colombia,Elephant,Gus Van Sant,2003
555,Juan Carlos González,El Tiempo,Colombia,A Prophet,Jacques Audiard,2009
556,Juan Carlos González,El Tiempo,Colombia,There Will Be Blood,Paul Thomas Anderson,2007
557,Juan Carlos González,El Tiempo,Colombia,The Lives of Others,Florian Henckel von Donnersmarck,2006
558,Juan Carlos González,El Tiempo,Colombia,Frances Ha,Noah Baumbach,2012
559,Juan Carlos González,El Tiempo,Colombia,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
560,Carmen Gray,Berlin Critics’ Week,Germany,Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000
561,Carmen Gray,Berlin Critics’ Week,Germany,The Act of Killing,Joshua Oppenheimer,2012
562,Carmen Gray,Berlin Critics’ Week,Germany,White Material,Claire Denis,2009
563,Carmen Gray,Berlin Critics’ Week,Germany,Even If She Had Been a Criminal...,Jean-Gabriel Périot,2006
564,Carmen Gray,Berlin Critics’ Week,Germany,Spring Breakers,Harmony Korine,2012
565,Carmen Gray,Berlin Critics’ Week,Germany,In the Mood for Love,Wong Kar-wai,2000
566,Carmen Gray,Berlin Critics’ Week,Germany,Stranger by the Lake,Alain Guiraudie,2013
567,Carmen Gray,Berlin Critics’ Week,Germany,Colossal Youth,Pedro Costa,2006
568,Carmen Gray,Berlin Critics’ Week,Germany,Story of My Death,Albert Serra,2013
569,Carmen Gray,Berlin Critics’ Week,Germany,Aurora,Cristi Puiu,2010
570,Tim Grierson,Screen International,US,Dogville,Lars von Trier,2003
571,Tim Grierson,Screen International,US,Zodiac,David Fincher,2007
572,Tim Grierson,Screen International,US,There Will Be Blood,Paul Thomas Anderson,2007
573,Tim Grierson,Screen International,US,Inside Llewyn Davis,Joel and Ethan Coen,2013
574,Tim Grierson,Screen International,US,Yi Yi: A One and a Two,Edward Yang,2000
575,Tim Grierson,Screen International,US,The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011
576,Tim Grierson,Screen International,US,The Master,Paul Thomas Anderson,2012
577,Tim Grierson,Screen International,US,It's Such a Beautiful Day,Don Hertzfeldt,2012
578,Tim Grierson,Screen International,US,Boyhood,Richard Linklater,2014
579,Tim Grierson,Screen International,US,Shutter Island,Martin Scorsese,2010
580,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Saraband,Ingmar Bergman,2003
581,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Memento,Christopher Nolan,2000
582,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Blue Is the Warmest Color,Abdellatif Kechiche,2013
583,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,The Return,Andrey Zvyagintsev,2003
584,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Amour,Michael Haneke,2012
585,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Mulholland Drive,David Lynch,2001
586,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Import Export,Ulrich Seidl,2007
587,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Son of Saul,László Nemes,2015
588,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,Kill Bill: Vol. 1,Quentin Tarantino,2003
589,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,The Revenant,Alejandro González Iñárritu,2015
590,Antoine Guillot,France Culture,France,Tropical Malady,Apichatpong Weerasethakul,2004
591,Antoine Guillot,France Culture,France,Mulholland Drive,David Lynch,2001
592,Antoine Guillot,France Culture,France,The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011
593,Antoine Guillot,France Culture,France,Tie Xi Qu: West of the Tracks,Wang Bing,2002
594,Antoine Guillot,France Culture,France,Le filmeur,Alain Cavalier,2005
595,Antoine Guillot,France Culture,France,Holy Motors,Leos Carax,2012
596,Antoine Guillot,France Culture,France,Elephant,Gus Van Sant,2003
597,Antoine Guillot,France Culture,France,A Touch of Sin,Jia Zhangke,2013
598,Antoine Guillot,France Culture,France,Pan's Labyrinth,Guillermo Del Toro,2006
599,Antoine Guillot,France Culture,France,Spirited Away,Hayao Miyazaki,2001
600,Tom Gunning,University of Chicago,US,The New World,Terrence Malick,2005
601,Tom Gunning,University of Chicago,US,Capitalism: Child Labor,Ken Jacobs,2007
602,Tom Gunning,University of Chicago,US,Psalm III: 'Night of the Meek',Phil Solomon,2002
603,Tom Gunning,University of Chicago,US,Goodbye to Language,Jean-Luc Godard,2014
604,Tom Gunning,University of Chicago,US,Daylight Moon,Lewis Klahr,2002
605,Tom Gunning,University of Chicago,US,Oldboy,Park Chan-wook,2003
606,Tom Gunning,University of Chicago,US,A Commuter’s Life (What a Life!),What a Life!) (Ernie Gehr,2014
607,Tom Gunning,University of Chicago,US,The Fourth Watch,Janie Geiser,2000
608,Tom Gunning,University of Chicago,US,Our Daily Bread,Nikolaus Geyrhalter,2005
609,Tom Gunning,University of Chicago,US,The World,Jia Zhangke,2004
610,Shubhra Gupta,The Indian Express,India,Ankhon Dekhi,Rajat Kapoor,2013
611,Shubhra Gupta,The Indian Express,India,Court,Chaitanya Tamhane,2014
612,Shubhra Gupta,The Indian Express,India,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010
613,Shubhra Gupta,The Indian Express,India,Monsoon Wedding,Mira Nair,2001
614,Shubhra Gupta,The Indian Express,India,Dev D,Anurag Kashyap,2009
615,Shubhra Gupta,The Indian Express,India,Paan Singh Tomar,Tigmanshu Dhulia,2012
616,Shubhra Gupta,The Indian Express,India,Udaan,Vikramaditya Motwane,2010
617,Shubhra Gupta,The Indian Express,India,Hazaaron Khwaishein Aisi,Sudhir Mishra,2003
618,Shubhra Gupta,The Indian Express,India,Maqbool,Vishal Bhardwaj,2003
619,Shubhra Gupta,The Indian Express,India,Lagaan: Once Upon a Time in India,Ashutosh Gowariker,2001
620,Hauvick Habechian,An-Nahar Newspaper,Lebanon,There Will Be Blood,Paul Thomas Anderson,2007
621,Hauvick Habechian,An-Nahar Newspaper,Lebanon,Mulholland Drive,David Lynch,2001
622,Hauvick Habechian,An-Nahar Newspaper,Lebanon,AI: Artificial Intelligence,Steven Spielberg,2001
623,Hauvick Habechian,An-Nahar Newspaper,Lebanon,Blue Is the Warmest Color,Abdellatif Kechiche,2013
624,Hauvick Habechian,An-Nahar Newspaper,Lebanon,Spirited Away,Hayao Miyazaki,2001
625,Hauvick Habechian,An-Nahar Newspaper,Lebanon,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011
626,Hauvick Habechian,An-Nahar Newspaper,Lebanon,In the Mood for Love,Wong Kar-wai,2000
627,Hauvick Habechian,An-Nahar Newspaper,Lebanon,The Lady and the Duke,Éric Rohmer,2001
628,Hauvick Habechian,An-Nahar Newspaper,Lebanon,Yi Yi: A One and a Two,Edward Yang,2000
629,Hauvick Habechian,An-Nahar Newspaper,Lebanon,Silent Souls,Aleksey Fedorchenko,2010
630,Angie Han,Slashfilm,US,"Synecdoche, New York",Charlie Kaufman,2008
631,Angie Han,Slashfilm,US,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
632,Angie Han,Slashfilm,US,Boyhood,Richard Linklater,2014
633,Angie Han,Slashfilm,US,Mad Max: Fury Road,George Miller,2015
634,Angie Han,Slashfilm,US,Me and You and Everyone We Know,Miranda July,2005
635,Angie Han,Slashfilm,US,Gone Girl,David Fincher,2014
636,Angie Han,Slashfilm,US,Inside Llewyn Davis,Joel and Ethan Coen,2013
637,Angie Han,Slashfilm,US,Only Lovers Left Alive,Jim Jarmusch,2013
638,Angie Han,Slashfilm,US,Selma,Ava DuVernay,2014
639,Angie Han,Slashfilm,US,Pain &amp; Gain,Michael Bay,2013
640,Aisha Harris,Slate,US,Inside Out,Pete Docter,2015
641,Aisha Harris,Slate,US,When the Levees Broke: A Requiem in Four Acts,Spike Lee,2006
642,Aisha Harris,Slate,US,Stories We Tell,Sarah Polley,2012
643,Aisha Harris,Slate,US,Her,Spike Jonze,2013
644,Aisha Harris,Slate,US,Children of Men,Alfonso Cuarón,2006
645,Aisha Harris,Slate,US,Before Midnight,Richard Linklater,2013
